Flow ramp - 1					
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
Pa	1/s	Pa.s	s	°C	Pa
-1.13965	13.2755	-0.0858461	0.466062	23.494	100.045
1.03946	31.0874	0.0334367	1.50736	23.498	98.6817
1.37224	50.7355	0.0270469	2.4904	23.502	101.356
1.72676	71.7045	0.0240816	3.53898	23.504	98.9641
2.05716	91.3605	0.0225169	4.52202	23.504	99.8465
2.39117	111.021	0.021538	5.50506	23.497	95.7517
2.72576	130.679	0.0208585	6.4881	23.499	98.3625
3.05565	150.335	0.0203257	7.47114	23.503	98.1529
3.41092	171.311	0.0199107	8.51971	23.498	94.6497
3.7438	190.961	0.0196051	9.50275	23.502	101.248
4.07602	210.619	0.0193526	10.4858	23.5	99.0066
4.4301	231.593	0.0191289	11.5344	23.5	101.641
4.76233	251.241	0.0189552	12.5174	23.497	105.9
5.09439	270.908	0.0188049	13.5004	23.496	104.939
5.42481	290.554	0.0186706	14.4835	23.506	102.078
5.75752	310.222	0.0185593	15.4665	23.496	100.97
6.11152	331.19	0.0184532	16.5151	23.496	99.8953
6.44382	350.847	0.0183665	17.4981	23.504	98.9697
6.77569	370.505	0.0182877	18.4812	23.502	92.2979
7.12881	391.473	0.0182102	19.5298	23.499	92.0998
7.45862	411.13	0.0181417	20.5128	23.495	93.7033
7.78932	430.788	0.0180816	21.4958	23.499	93.3376
8.11669	450.432	0.0180198	22.4789	23.505	97.0685
8.4505	470.1	0.017976	23.4619	23.501	99.0302
8.80088	491.07	0.0179218	24.5105	23.503	102.185
9.12847	510.729	0.0178734	25.4935	23.496	104.396
9.45725	530.386	0.0178309	26.4766	23.501	101.407
9.80685	551.354	0.0177869	27.5252	23.505	97.463
10.1347	571.011	0.0177488	28.5082	23.503	94.0146
10.461	590.669	0.0177104	29.4912	23.5	91.0282
10.8016	611.63	0.0176604	30.5398	23.497	83.9946
11.137	631.302	0.0176413	31.5228	23.499	85.1558
11.4475	650.934	0.0175863	32.5059	23.496	87.1805
11.7727	670.61	0.0175552	33.4889	23.494	87.0023
12.0937	690.268	0.0175202	34.472	23.499	92.9247
12.435	711.236	0.0174836	35.5205	23.496	98.8784
12.7547	730.893	0.0174509	36.5036	23.496	99.131
13.0715	750.551	0.0174159	37.4866	23.509	102.294
13.4108	771.519	0.0173823	38.5352	23.504	100.258
13.7258	791.177	0.0173486	39.5182	23.493	97.0884
14.0387	810.835	0.0173139	40.5013	23.504	89.5407
14.3539	830.492	0.0172836	41.4843	23.5	84.9112
14.6649	850.149	0.0172498	42.4674	23.503	81.0144
14.9956	871.118	0.0172142	43.5159	23.5	79.8836
15.3044	890.776	0.017181	44.499	23.503	79.0602
15.6163	910.433	0.0171526	45.482	23.503	79.958
15.9453	931.401	0.0171197	46.5306	23.498	86.9013
16.2532	951.059	0.0170896	47.5136	23.496	89.6034
16.5596	970.717	0.0170591	48.4967	23.503	92.4504
16.8672	990.373	0.0170311	49.4797	23.508	92.5419
17.1725	1010.03	0.0170019	50.4628	23.501	93.2488
17.5002	1031	0.016974	51.5113	23.497	86.5575
17.8055	1050.62	0.0169476	52.4944	23.492	79.4904
18.112	1070.31	0.0169222	53.4774	23.495	73.631
18.4386	1091.28	0.0168963	54.526	23.5	68.8984
18.7448	1110.94	0.0168729	55.509	23.493	66.765
19.0514	1130.6	0.0168508	56.4921	23.496	71.4999
19.3722	1151.57	0.0168225	57.5406	23.498	73.4549
19.6766	1171.22	0.0168	58.5237	23.504	82.6726
19.9792	1190.88	0.0167769	59.5067	23.503	82.9913
20.2902	1210.54	0.0167613	60.4898	23.498	80.1062
20.5963	1230.2	0.0167423	61.4728	23.497	84.6253
20.9214	1251.16	0.0167216	62.5214	23.506	81.2648
21.2299	1270.82	0.0167056	63.5044	23.508	75.2882
21.5358	1290.48	0.0166882	64.4875	23.502	68.5789
21.8615	1311.45	0.0166698	65.536	23.499	63.8175
22.1651	1331.1	0.0166517	66.5191	23.497	60.633
22.4738	1350.76	0.0166379	67.5021	23.501	45.7152
22.7817	1370.42	0.0166239	68.4852	23.509	51.5426
23.0892	1390.08	0.01661	69.4682	23.501	54.2605
