Flow ramp - 1					
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
Pa	1/s	Pa.s	s	°C	Pa
-1.2095	13.1505	-0.0919738	0.466062	23.502	240.647
0.875898	31.0952	0.0281683	1.50736	23.495	241.045
1.10563	50.7421	0.0217893	2.4904	23.497	237.786
1.35186	71.7082	0.0188522	3.53898	23.496	238.341
1.58155	91.3662	0.01731	4.52202	23.496	238.554
1.81143	111.027	0.0163152	5.50506	23.496	238.531
2.04136	130.684	0.0156207	6.4881	23.491	244.967
2.27009	150.341	0.0150996	7.47114	23.494	242.684
2.51399	171.312	0.014675	8.51971	23.501	245.277
2.74386	190.975	0.0143677	9.50275	23.514	244.302
2.97366	210.625	0.0141183	10.4858	23.51	243.461
3.21896	231.593	0.0138992	11.5344	23.501	240.313
3.44866	251.256	0.0137257	12.5174	23.495	239.415
3.67785	270.914	0.0135757	13.5004	23.493	237.339
3.90673	290.561	0.0134454	14.4835	23.494	236.214
4.13545	310.229	0.0133303	15.4665	23.501	235.116
4.37985	331.197	0.0132243	16.5151	23.503	238.065
4.60892	350.841	0.0131368	17.4981	23.51	238.333
4.838	370.511	0.0130576	18.4812	23.505	241.307
5.08263	391.479	0.0129831	19.5298	23.494	240.634
5.31187	411.137	0.01292	20.5128	23.49	242.353
5.5377	430.794	0.0128546	21.4958	23.497	245.086
5.76414	450.452	0.0127963	22.4789	23.504	240.94
5.99279	470.095	0.012748	23.4619	23.501	237.109
6.23666	491.076	0.0127	24.5105	23.497	236.055
6.46407	510.735	0.0126564	25.4935	23.497	232.232
6.69133	530.392	0.0126158	26.4766	23.502	232.873
6.93318	551.361	0.0125747	27.5252	23.498	233.318
7.15989	571.018	0.0125388	28.5082	23.503	234.187
7.38583	590.675	0.012504	29.4912	23.499	236.408
7.62629	611.644	0.0124685	30.5398	23.505	238.739
7.8527	631.3	0.0124389	31.5228	23.499	239.997
8.07725	650.959	0.0124082	32.5059	23.498	240.817
8.3019	670.592	0.01238	33.4889	23.503	239.614
8.52699	690.273	0.0123531	34.472	23.497	234.839
8.76453	711.241	0.0123229	35.5205	23.498	233.882
8.98694	730.899	0.0122957	36.5036	23.501	229.932
9.21223	750.555	0.0122739	37.4866	23.498	227.283
9.44812	771.525	0.012246	38.5352	23.502	227.455
9.6735	791.181	0.0122267	39.5182	23.504	224.684
9.89388	810.84	0.012202	40.5013	23.497	227.27
10.1171	830.497	0.0121819	41.4843	23.498	231.252
10.3393	850.154	0.0121617	42.4674	23.506	233.067
10.5745	871.123	0.0121389	43.5159	23.497	233.488
10.7969	890.78	0.0121208	44.499	23.502	235.6
11.018	910.438	0.0121019	45.482	23.505	236.57
11.2542	931.405	0.012083	46.5306	23.502	228.31
11.4745	951.063	0.0120649	47.5136	23.503	227.153
11.6973	970.721	0.0120501	48.4967	23.499	219.821
11.9161	990.346	0.0120323	49.4797	23.499	217.275
12.1416	1010.03	0.012021	50.4628	23.493	213.414
12.3753	1031	0.0120032	51.5113	23.494	212.66
12.5954	1050.66	0.011988	52.4944	23.5	216.714
12.815	1070.32	0.0119731	53.4774	23.499	219.856
13.0506	1091.29	0.0119589	54.526	23.493	221.217
13.2724	1110.94	0.011947	55.509	23.491	224.316
13.4911	1130.6	0.0119327	56.4921	23.498	224.663
13.728	1151.57	0.0119212	57.5406	23.5	224.628
13.9498	1171.23	0.0119105	58.5237	23.501	223.269
14.171	1190.88	0.0118996	59.5067	23.501	214.081
14.3917	1210.54	0.0118887	60.4898	23.509	210.3
14.6138	1230.2	0.0118792	61.4728	23.504	206.946
14.8499	1251.17	0.0118688	62.5214	23.5	202.267
15.0697	1270.83	0.0118582	63.5044	23.5	204.177
15.2885	1290.48	0.0118471	64.4875	23.499	205.655
15.5239	1311.45	0.0118372	65.536	23.496	210.234
15.7422	1331.11	0.0118264	66.5191	23.502	215.049
15.964	1350.77	0.0118185	67.5021	23.5	214.422
16.1831	1370.42	0.0118088	68.4852	23.5	211.289
16.4041	1390.08	0.0118008	69.4682	23.508	214.899
16.6392	1411.05	0.0117921	70.5168	23.509	206.937
16.8588	1430.71	0.0117835	71.4998	23.499	198.672
17.078	1450.36	0.011775	72.4828	23.5	199.58
17.312	1471.33	0.0117662	73.5314	23.495	192.223
17.5293	1490.99	0.0117568	74.5145	23.495	191.303
17.7495	1510.65	0.0117496	75.4975	23.502	188.229
17.9683	1530.31	0.0117417	76.4805	23.501	192.564
18.187	1549.96	0.0117338	77.4636	23.501	198.679
18.42	1570.93	0.0117255	78.5122	23.499	202.334
18.6391	1590.59	0.0117184	79.4952	23.5	196.877
18.8579	1610.25	0.0117112	80.4782	23.505	203.748
19.0941	1631.21	0.0117054	81.5268	23.505	198.723
19.3121	1650.87	0.0116981	82.5099	23.5	195.453
19.5296	1670.53	0.0116907	83.4929	23.498	186.221
19.7489	1690.19	0.0116845	84.4759	23.507	178.791
19.9651	1709.84	0.0116766	85.459	23.498	176.273
20.1989	1730.81	0.0116702	86.5076	23.498	173.976
20.4174	1750.47	0.011664	87.4906	23.499	177.487
20.6407	1770.09	0.0116608	88.4736	23.504	175.07
20.8502	1791.11	0.0116409	89.5222	23.499	182.562
21.1014	1810.72	0.0116536	90.5052	23.496	194.775
21.2958	1830.44	0.0116342	91.4883	23.499	196.019
21.5522	1851.38	0.0116412	92.5369	23.505	190.108
21.7376	1871.02	0.0116181	93.5199	23.503	182.229
21.9853	1890.71	0.0116281	94.5029	23.498	181.195
22.1661	1910.32	0.0116033	95.486	23.5	165.131
22.4075	1930.03	0.0116099	96.469	23.498	167.291
22.6432	1950.97	0.0116062	97.5176	23.5	161.702
22.8343	1970.58	0.0115876	98.5006	23.503	158.264
23.0624	1990.29	0.0115875	99.4837	23.5	158.741
23.2926	2011.26	0.0115811	100.532	23.503	159.618
23.5097	2030.92	0.0115759	101.515	23.507	163.602
23.7282	2050.57	0.0115715	102.498	23.504	165.885
23.9452	2070.23	0.0115664	103.481	23.502	169.648
24.1633	2089.89	0.011562	104.464	23.497	165.307
24.3911	2110.86	0.0115551	105.513	23.495	169.982
24.6099	2130.51	0.0115512	106.496	23.5	161.615
24.8279	2150.17	0.0115469	107.479	23.499	151.816
25.0579	2171.14	0.0115413	108.528	23.502	144.134
25.2741	2190.8	0.0115365	109.511	23.497	144.868
25.4848	2210.46	0.0115292	110.494	23.493	136.189
25.6991	2230.11	0.0115237	111.477	23.493	135.072
25.9133	2249.77	0.0115182	112.46	23.499	140.944
26.1415	2270.74	0.0115123	113.508	23.499	144.824
26.3552	2290.39	0.0115069	114.491	23.503	149.651
26.5701	2310.05	0.0115019	115.474	23.502	150.915
26.8014	2331.02	0.0114977	116.523	23.503	144.846
27.0174	2350.68	0.0114934	117.506	23.506	144.089
27.2309	2370.34	0.0114882	118.489	23.498	132.493
27.4591	2391.3	0.0114829	119.538	23.5	133.122
27.6729	2410.96	0.0114779	120.521	23.508	129.192
