Flow ramp - 1					
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
Pa	1/s	Pa.s	s	°C	Pa
-1.15027	13.2906	-0.086548	0.466062	23.498	139.504
1.03743	31.0867	0.0333721	1.50736	23.504	139.401
1.36812	50.7362	0.0269654	2.4904	23.502	141.266
1.7274	71.7037	0.0240908	3.53898	23.499	141.194
2.06658	91.3606	0.02262	4.52202	23.502	142.854
2.39926	111.022	0.0216107	5.50506	23.501	143.766
2.725	130.678	0.0208528	6.4881	23.497	146.945
3.06674	150.334	0.0203995	7.47114	23.495	143.839
3.41609	171.311	0.0199408	8.51971	23.507	145.41
3.7566	190.96	0.0196722	9.50275	23.497	143.28
4.08163	210.625	0.0193786	10.4858	23.498	142.217
4.44495	231.587	0.0191934	11.5344	23.503	138.299
4.7751	251.238	0.0190063	12.5174	23.502	138.233
5.10569	270.909	0.0188465	13.5004	23.5	139.498
5.44075	290.555	0.0187253	14.4835	23.497	139.797
5.77471	310.221	0.0186148	15.4665	23.498	139.762
6.12699	331.19	0.0184999	16.5151	23.499	142.878
6.46081	350.847	0.0184149	17.4981	23.502	144.96
6.79202	370.505	0.0183318	18.4812	23.503	144.352
7.14499	391.473	0.0182516	19.5298	23.501	145.34
7.47577	411.13	0.0181834	20.5128	23.509	143.608
7.80771	430.787	0.0181243	21.4958	23.506	140.549
8.13826	450.445	0.0180672	22.4789	23.497	138.466
8.46578	470.091	0.0180088	23.4619	23.5	134.7
8.81534	491.069	0.0179513	24.5105	23.5	132.29
9.14692	510.728	0.0179096	25.4935	23.499	133.518
9.46909	530.388	0.0178532	26.4766	23.496	135.083
9.82577	551.353	0.0178212	27.5252	23.505	136.01
10.1472	571.012	0.0177706	28.5082	23.511	139.204
10.4795	590.67	0.0177417	29.4912	23.498	141.983
10.8283	611.636	0.0177038	30.5398	23.498	142.06
11.1478	631.294	0.0176586	31.5228	23.494	143.497
11.4752	650.932	0.0176288	32.5059	23.498	140.25
11.8017	670.611	0.0175985	33.4889	23.502	134.638
12.1246	690.267	0.0175652	34.472	23.504	131.76
12.4703	711.235	0.0175333	35.5205	23.506	128.418
12.795	730.893	0.017506	36.5036	23.508	127.264
13.1126	750.551	0.0174706	37.4866	23.5	126.303
13.4574	771.516	0.0174428	38.5352	23.498	129.527
13.777	791.176	0.0174133	39.5182	23.502	134.814
14.1002	810.834	0.0173897	40.5013	23.504	135.522
14.4189	830.492	0.0173619	41.4843	23.496	140.448
14.7381	850.147	0.017336	42.4674	23.497	138.266
15.0806	871.119	0.0173118	43.5159	23.499	137.829
15.3973	890.775	0.0172853	44.499	23.505	134.481
15.7196	910.432	0.0172661	45.482	23.496	128.321
16.0543	931.397	0.0172368	46.5306	23.497	126.682
16.3687	951.062	0.017211	47.5136	23.498	122.371
16.689	970.714	0.0171925	48.4967	23.505	119.877
17.0044	990.371	0.0171697	49.4797	23.503	119.016
