Flow ramp - 1					
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
Pa	1/s	Pa.s	s	°C	Pa
-0.678972	12.1737	-0.0557737	0.466062	23.498	1.86793
0.662549	31.1007	0.0213034	1.50736	23.502	-1.47272
0.75874	50.7532	0.0149496	2.4904	23.503	0.324813
0.863951	71.721	0.012046	3.53898	23.5	-0.338474
0.961429	91.3771	0.0105216	4.52202	23.501	-3.13625
1.05313	111.038	0.00948438	5.50506	23.501	-2.54387
1.14719	130.695	0.00877763	6.4881	23.508	0.364277
1.24631	150.355	0.00828909	7.47114	23.505	2.45204
1.34364	171.323	0.00784272	8.51971	23.499	2.14088
1.44307	190.98	0.00755612	9.50275	23.501	4.9637
1.53502	210.639	0.00728745	10.4858	23.496	3.34755
1.63849	231.607	0.00707446	11.5344	23.501	1.8654
1.73223	251.268	0.00689395	12.5174	23.495	1.34262
1.8279	270.921	0.00674698	13.5004	23.5	-1.29925
1.9223	290.585	0.00661528	14.4835	23.502	-5.60986
2.01732	310.242	0.0065024	15.4665	23.501	-4.06548
2.11872	331.201	0.00639708	16.5151	23.501	-5.76392
2.21404	350.867	0.0063102	17.4981	23.502	-3.56558
2.30889	370.524	0.00623141	18.4812	23.498	-2.65467
2.41033	391.492	0.00615679	19.5298	23.498	-2.00428
2.50578	411.15	0.00609457	20.5128	23.494	0.325247
2.60098	430.796	0.00603763	21.4958	23.499	3.18287
2.69658	450.45	0.00598641	22.4789	23.498	1.87342
2.79061	470.122	0.00593592	23.4619	23.506	0.994931
2.89241	491.089	0.00588979	24.5105	23.51	-2.69565
2.98782	510.747	0.00584989	25.4935	23.496	-5.66537
3.08153	530.406	0.00580975	26.4766	23.495	-9.07429
3.18418	551.372	0.00577502	27.5252	23.496	-10.0373
3.27823	571.03	0.0057409	28.5082	23.496	-9.41222
3.37447	590.688	0.00571277	29.4912	23.503	-9.66851
3.47556	611.64	0.00568237	30.5398	23.506	-6.25342
3.57073	631.312	0.00565605	31.5228	23.506	-4.69917
3.66598	650.971	0.00563155	32.5059	23.502	-3.58205
3.7611	670.628	0.00560832	33.4889	23.497	-0.631413
3.85575	690.286	0.00558573	34.472	23.496	-2.24941
3.95744	711.253	0.00556403	35.5205	23.498	-4.35918
4.05201	730.912	0.00554377	36.5036	23.496	-6.35923
4.14747	750.568	0.00552578	37.4866	23.501	-11.4967
4.2493	771.536	0.00550758	38.5352	23.503	-15.8187
4.34419	791.194	0.00549068	39.5182	23.495	-18.4723
4.43919	810.852	0.00547472	40.5013	23.497	-17.2386
4.53408	830.509	0.00545939	41.4843	23.499	-15.029
4.62909	850.166	0.00544492	42.4674	23.505	-12.6723
4.73026	871.135	0.00542999	43.5159	23.507	-11.4375
4.82498	890.792	0.0054165	44.499	23.503	-7.1459
4.92073	910.45	0.00540473	45.482	23.498	-7.73253
5.02223	931.417	0.00539204	46.5306	23.496	-7.90708
5.11648	951.076	0.00537967	47.5136	23.496	-9.62992
5.21308	970.733	0.00537025	48.4967	23.499	-15.1258
5.30734	990.39	0.00535884	49.4797	23.501	-18.8956
5.40181	1010.05	0.00534807	50.4628	23.498	-22.1199
5.50073	1031.01	0.00533526	51.5113	23.497	-25.6238
5.60375	1050.65	0.00533362	52.4944	23.498	-25.149
5.69129	1070.33	0.00531732	53.4774	23.499	-25.5829
5.79501	1091.3	0.0053102	54.526	23.503	-23.1528
5.88999	1110.96	0.00530173	55.509	23.499	-18.5738
5.98492	1130.61	0.00529352	56.4921	23.505	-15.8476
6.08653	1151.58	0.00528537	57.5406	23.494	-14.0861
6.18141	1171.24	0.00527767	58.5237	23.496	-16.1609
6.27639	1190.9	0.0052703	59.5067	23.5	-19.7157
6.37225	1210.55	0.00526392	60.4898	23.505	-24.417
6.467	1230.21	0.00525682	61.4728	23.498	-26.6081
6.56895	1251.18	0.00525021	62.5214	23.502	-31.6837
6.66265	1270.84	0.00524272	63.5044	23.502	-37.21
6.75931	1290.49	0.00523777	64.4875	23.504	-35.3273
6.85912	1311.46	0.00523013	65.536	23.499	-34.5145
6.95385	1331.12	0.00522405	66.5191	23.506	-32.0225
7.04911	1350.78	0.00521856	67.5021	23.504	-28.8044
7.14408	1370.44	0.005213	68.4852	23.506	-26.1247
7.23848	1390.09	0.00520719	69.4682	23.498	-25.9858
7.34033	1411.06	0.005202	70.5168	23.49	-29.8965
7.43563	1430.72	0.00519713	71.4998	23.498	-30.4917
7.53086	1450.38	0.00519235	72.4828	23.5	-30.3799
7.63295	1471.34	0.00518774	73.5314	23.5	-43.4544
7.72792	1491	0.00518304	74.5145	23.5	-46.6326
7.8235	1510.66	0.00517887	75.4975	23.497	-46.207
7.91912	1530.32	0.00517482	76.4805	23.496	-45.9769
8.01423	1549.97	0.00517056	77.4636	23.501	-45.9171
8.11633	1570.94	0.00516654	78.5122	23.5	-47.1511
8.21085	1590.6	0.00516211	79.4952	23.501	-36.4971
8.30619	1610.26	0.0051583	80.4782	23.503	-38.3841
8.40699	1631.22	0.00515379	81.5268	23.5	-39.3366
8.50373	1650.88	0.00515102	82.5099	23.505	-37.432
8.59873	1670.54	0.00514728	83.4929	23.505	-44.4357
8.69457	1690.2	0.00514411	84.4759	23.497	-51.4506
8.78739	1709.86	0.00513926	85.459	23.495	-52.6759
8.89062	1730.82	0.00513665	86.5076	23.5	-58.0725
8.98561	1750.48	0.00513322	87.4906	23.499	-62.3121
9.08084	1770.14	0.00513002	88.4736	23.499	-63.2013
9.18445	1791.11	0.00512781	89.5222	23.503	-63.4904
9.28069	1810.76	0.00512529	90.5052	23.498	-59.8828
9.379	1830.42	0.00512396	91.4883	23.492	-53.8803
9.48074	1851.39	0.00512088	92.5369	23.494	-55.9043
9.57658	1871.05	0.00511831	93.5199	23.499	-52.363
9.67024	1890.7	0.00511462	94.5029	23.498	-51.8844
9.76464	1910.36	0.00511141	95.486	23.5	-60.4561
9.86075	1930.02	0.00510915	96.469	23.504	-66.1534
9.96145	1950.99	0.00510585	97.5176	23.498	-72.4205
10.0564	1970.65	0.00510309	98.5006	23.502	-81.4219
10.1523	1990.3	0.00510089	99.4837	23.499	-78.8454
10.2533	2011.27	0.0050979	100.532	23.504	-81.6686
10.3488	2030.93	0.00509558	101.515	23.509	-82.1921
10.4438	2050.59	0.00509309	102.498	23.503	-77.0848
10.5394	2070.24	0.00509089	103.481	23.504	-75.8754
10.6357	2089.9	0.00508908	104.464	23.505	-66.6998
10.7363	2110.87	0.0050862	105.513	23.504	-68.1782
10.8338	2130.53	0.00508502	106.496	23.501	-69.9151
10.9287	2150.18	0.00508267	107.479	23.5	-73.6985
11.0307	2171.15	0.00508057	108.528	23.502	-84.6814
11.1277	2190.81	0.00507925	109.511	23.504	-91.9582
11.2231	2210.47	0.00507725	110.494	23.494	-96.0681
11.3197	2230.12	0.00507581	111.477	23.497	-98.6704
11.4118	2249.78	0.0050724	112.46	23.495	-99.0734
11.5152	2270.75	0.00507111	113.508	23.495	-97.6664
11.6118	2290.41	0.00506975	114.491	23.501	-97.5455
11.7086	2310.06	0.00506851	115.474	23.498	-90.4681
11.8109	2331.03	0.00506683	116.523	23.499	-81.2595
11.9063	2350.69	0.00506502	117.506	23.499	-85.0855
12.0027	2370.35	0.00506369	118.489	23.497	-86.0923
12.1044	2391.32	0.00506183	119.538	23.5	-95.3699
12.2	2410.97	0.00506018	120.521	23.506	-102.317
12.2949	2430.63	0.00505832	121.504	23.502	-112.084
12.3913	2450.29	0.0050571	122.487	23.497	-118.197
12.4877	2469.95	0.00505586	123.47	23.499	-120.951
12.5902	2490.91	0.00505445	124.518	23.501	-117.186
12.6864	2510.57	0.0050532	125.501	23.502	-119.329
12.7814	2530.23	0.00505146	126.485	23.506	-112.429
12.8816	2551.2	0.00504924	127.533	23.5	-112.952
12.9775	2570.85	0.00504793	128.516	23.498	-110.394
13.0739	2590.51	0.00504682	129.499	23.497	-105.242
13.1679	2610.17	0.00504483	130.482	23.499	-111.393
13.2634	2629.83	0.00504346	131.465	23.499	-116.16
13.3664	2650.79	0.00504241	132.514	23.502	-126.518
13.4621	2670.45	0.00504115	133.497	23.501	-129.539
13.5587	2690.11	0.00504018	134.48	23.507	-143.887
13.66	2711.08	0.00503858	135.528	23.501	-143.121
13.7566	2730.74	0.00503768	136.512	23.502	-136.232
13.851	2750.39	0.005036	137.495	23.501	-135.117
13.9442	2770.05	0.00503393	138.478	23.495	-135.044
14.0397	2789.71	0.00503268	139.461	23.502	-142.305
14.1426	2810.68	0.00503175	140.509	23.502	-124.557
14.2387	2830.33	0.00503074	141.492	23.496	-126.894
14.3348	2849.99	0.00502976	142.475	23.497	-136.443
14.4345	2870.96	0.00502775	143.524	23.501	-140.035
14.5278	2890.62	0.00502585	144.507	23.503	-149.947
14.6235	2910.27	0.00502477	145.49	23.501	-153.83
14.7248	2931.24	0.00502341	146.539	23.502	-165.594
14.8232	2950.9	0.00502328	147.522	23.502	-163.151
14.9189	2970.56	0.00502226	148.505	23.502	-170.598
15.0139	2990.22	0.00502101	149.488	23.496	-170.086
15.1066	3009.87	0.005019	150.471	23.497	-160.191
15.2067	3030.84	0.00501733	151.519	23.5	-153.834
15.2998	3050.5	0.00501551	152.502	23.5	-162.075
15.3966	3070.16	0.00501494	153.485	23.491	-150.786
15.5006	3091.12	0.00501454	154.534	23.504	-156.365
