Filename:	D:\Users\Thermal_Users\LeBlanc\Ag1 ink 8_9_16.tg1d

Temperature (°C)	Weight (mg)
86.391	112.2734
88.118	112.2493
89.796	112.2241
91.391	112.1977
92.869	112.1706
94.216	112.1428
95.429	112.1144
96.513	112.0858
97.484	112.0571
98.349	112.0285
99.121	112.0001
99.818	111.9722
100.444	111.9448
101.012	111.9179
101.533	111.8916
102.009	111.8660
102.454	111.8411
102.867	111.8169
103.254	111.7933
103.618	111.7703
103.954	111.7478
104.264	111.7257
104.558	111.7039
104.834	111.6821
105.099	111.6606
105.349	111.6393
105.583	111.6183
105.805	111.5975
106.012	111.5769
106.207	111.5562
106.388	111.5358
106.558	111.5153
106.717	111.4951
106.867	111.4749
107.011	111.4548
107.149	111.4348
107.281	111.4148
107.403	111.3947
107.518	111.3746
107.629	111.3544
107.735	111.3342
107.833	111.3141
107.929	111.2939
108.019	111.2738
108.100	111.2536
108.178	111.2336
108.250	111.2135
108.325	111.1935
108.391	111.1735
108.456	111.1535
108.518	111.1335
108.579	111.1135
108.635	111.0937
108.685	111.0739
108.733	111.0542
108.779	111.0346
108.823	111.0152
108.863	110.9961
108.903	110.9771
108.940	110.9580
108.974	110.9389
109.005	110.9198
109.036	110.9007
109.066	110.8817
109.095	110.8627
109.124	110.8438
109.151	110.8250
109.175	110.8061
109.199	110.7871
109.223	110.7681
109.247	110.7493
109.266	110.7306
109.285	110.7118
109.302	110.6930
109.320	110.6741
109.334	110.6554
109.342	110.6366
109.352	110.6179
109.360	110.5991
109.369	110.5804
109.377	110.5618
109.382	110.5432
109.388	110.5247
109.393	110.5061
109.398	110.4874
109.407	110.4689
109.421	110.4504
109.443	110.4320
109.461	110.4139
109.476	110.3958
109.491	110.3779
109.505	110.3600
109.516	110.3418
109.529	110.3236
109.540	110.3055
109.544	110.2873
109.553	110.2689
109.559	110.2502
109.563	110.2315
109.567	110.2128
109.569	110.1943
109.568	110.1761
109.565	110.1583
109.563	110.1407
109.575	110.1231
109.585	110.1054
109.591	110.0874
109.593	110.0695
109.594	110.0518
109.597	110.0340
109.597	110.0162
109.598	109.9984
109.600	109.9805
109.606	109.9623
109.611	109.9439
109.613	109.9257
109.599	109.9075
109.602	109.8896
109.616	109.8716
109.623	109.8538
109.624	109.8361
109.625	109.8184
109.615	109.8009
109.609	109.7837
109.613	109.7665
109.616	109.7495
109.618	109.7325
109.627	109.7156
109.632	109.6987
109.637	109.6817
109.643	109.6648
109.646	109.6480
109.648	109.6312
109.652	109.6142
109.657	109.5971
109.661	109.5799
109.664	109.5627
109.666	109.5457
109.667	109.5287
109.665	109.5116
109.668	109.4947
109.670	109.4779
109.673	109.4611
109.675	109.4443
109.677	109.4276
109.678	109.4110
109.678	109.3944
109.679	109.3780
109.679	109.3616
109.680	109.3452
109.681	109.3289
109.682	109.3126
109.683	109.2962
109.683	109.2801
109.684	109.2640
109.685	109.2479
109.687	109.2319
109.689	109.2160
109.690	109.2002
109.693	109.1843
109.694	109.1684
109.693	109.1525
109.694	109.1367
109.694	109.1208
109.697	109.1050
109.696	109.0892
109.698	109.0736
109.699	109.0580
109.696	109.0423
109.695	109.0263
109.697	109.0092
109.698	108.9912
109.699	108.9731
109.699	108.9558
109.700	108.9393
109.697	108.9234
109.696	108.9078
109.694	108.8923
109.693	108.8771
109.692	108.8618
109.692	108.8467
109.690	108.8316
109.690	108.8167
109.689	108.8018
109.687	108.7870
109.685	108.7722
109.684	108.7573
109.684	108.7425
109.684	108.7276
109.684	108.7129
109.683	108.6982
109.683	108.6837
109.684	108.6692
109.685	108.6548
109.687	108.6404
109.686	108.6262
109.688	108.6120
109.686	108.5977
109.685	108.5834
109.684	108.5689
109.683	108.5544
109.681	108.5402
109.679	108.5260
109.674	108.5119
109.667	108.4978
109.659	108.4838
109.655	108.4698
109.650	108.4558
109.643	108.4418
109.638	108.4280
109.636	108.4141
109.636	108.4003
109.636	108.3865
109.636	108.3728
109.637	108.3592
109.636	108.3456
109.635	108.3320
109.635	108.3184
109.632	108.3047
109.628	108.2911
109.624	108.2776
109.620	108.2640
109.613	108.2506
109.606	108.2371
109.599	108.2237
109.599	108.2103
109.601	108.1971
109.600	108.1838
109.598	108.1706
109.599	108.1574
109.601	108.1443
109.602	108.1312
109.603	108.1183
109.597	108.1055
109.593	108.0928
109.590	108.0798
109.590	108.0668
109.591	108.0538
109.595	108.0408
109.596	108.0280
109.596	108.0151
109.599	108.0022
109.599	107.9895
109.601	107.9769
109.602	107.9642
109.602	107.9516
109.603	107.9390
109.610	107.9263
