Filename:	D:\Users\Thermal_Users\LeBlanc\Ag2 ink 8_9_16.tg1d

Temperature (°C)	Weight (mg)
26.207	74.9123
26.285	74.9134
26.370	74.9143
26.464	74.9151
26.565	74.9156
26.667	74.9160
26.765	74.9161
26.859	74.9160
26.946	74.9158
27.025	74.9156
27.098	74.9153
27.162	74.9151
27.220	74.9149
27.272	74.9147
27.319	74.9145
27.361	74.9143
27.398	74.9141
27.431	74.9139
27.461	74.9136
27.488	74.9134
27.513	74.9132
27.534	74.9131
27.554	74.9130
27.571	74.9128
27.587	74.9128
27.602	74.9125
27.616	74.9124
27.628	74.9123
27.639	74.9122
27.650	74.9121
27.660	74.9119
27.669	74.9118
27.677	74.9117
27.685	74.9115
27.692	74.9114
27.699	74.9112
27.705	74.9111
27.711	74.9110
27.716	74.9110
27.721	74.9109
27.726	74.9108
27.730	74.9107
27.734	74.9108
27.738	74.9109
27.742	74.9108
27.745	74.9106
27.748	74.9104
27.751	74.9103
27.754	74.9102
27.756	74.9102
27.759	74.9101
27.761	74.9101
27.763	74.9101
27.765	74.9101
27.767	74.9099
27.769	74.9099
27.771	74.9098
27.773	74.9097
27.774	74.9095
27.776	74.9094
27.777	74.9094
27.778	74.9093
27.780	74.9092
27.781	74.9093
27.785	74.9092
27.789	74.9092
27.794	74.9092
27.801	74.9093
27.810	74.9093
27.821	74.9094
27.834	74.9095
27.848	74.9097
27.863	74.9099
27.880	74.9099
27.898	74.9099
27.918	74.9099
27.938	74.9099
27.960	74.9101
27.982	74.9103
28.006	74.9103
28.029	74.9103
28.054	74.9103
28.078	74.9102
28.104	74.9102
28.130	74.9101
28.156	74.9101
28.182	74.9100
28.209	74.9099
28.236	74.9100
28.264	74.9100
28.291	74.9100
28.319	74.9100
28.348	74.9101
28.376	74.9100
28.405	74.9099
28.433	74.9099
28.461	74.9099
28.490	74.9099
28.519	74.9099
28.548	74.9099
28.577	74.9100
28.607	74.9100
28.636	74.9100
28.666	74.9099
28.696	74.9098
28.736	74.9097
28.887	74.9102
29.309	74.9144
29.940	74.9201
30.654	74.9249
31.377	74.9279
32.073	74.9301
32.724	74.9316
33.320	74.9321
33.857	74.9317
34.336	74.9309
19.680	74.9297
14.033	74.9285
12.778	74.9277
13.582	74.9268
15.282	74.9257
17.294	74.9258
19.348	74.9259
21.320	74.9399
23.157	75.0073
24.845	75.0754
26.401	75.1253
27.838	75.1576
29.167	75.1772
30.403	75.1885
31.553	75.1947
32.629	75.1980
33.637	75.1995
34.580	75.2002
35.463	75.2001
36.292	75.1996
37.075	75.1989
37.812	75.1982
38.512	75.1975
39.177	75.1967
39.809	75.1958
40.414	75.1950
40.994	75.1941
41.540	75.1933
42.065	75.1923
42.573	75.1912
43.063	75.1901
43.534	75.1890
43.984	75.1879
44.416	75.1865
44.834	75.1853
45.235	75.1840
45.622	75.1828
45.999	75.1817
46.364	75.1804
46.718	75.1792
47.063	75.1779
47.398	75.1767
47.724	75.1755
48.041	75.1742
48.345	75.1730
48.640	75.1717
48.928	75.1705
49.215	75.1694
49.495	75.1684
49.770	75.1672
50.045	75.1660
50.312	75.1646
50.576	75.1634
50.832	75.1622
51.085	75.1611
51.334	75.1600
51.578	75.1589
51.817	75.1578
52.054	75.1567
52.288	75.1556
52.518	75.1544
52.746	75.1534
52.967	75.1522
53.184	75.1510
53.398	75.1499
53.611	75.1486
53.822	75.1475
54.030	75.1463
54.239	75.1453
54.445	75.1445
54.650	75.1436
54.854	75.1425
55.055	75.1413
55.253	75.1401
55.448	75.1389
55.645	75.1378
55.850	75.1368
56.040	75.1357
56.223	75.1348
56.418	75.1337
56.619	75.1326
56.823	75.1314
57.026	75.1302
57.228	75.1289
57.431	75.1278
57.634	75.1266
57.834	75.1254
58.034	75.1243
58.231	75.1233
58.427	75.1222
58.621	75.1211
58.817	75.1200
59.007	75.1189
59.193	75.1178
59.382	75.1167
59.568	75.1155
59.757	75.1143
59.951	75.1131
60.141	75.1118
60.329	75.1105
60.514	75.1091
60.697	75.1078
60.882	75.1066
61.066	75.1054
61.248	75.1041
61.432	75.1029
61.616	75.1017
61.800	75.1006
61.983	75.0995
62.164	75.0982
62.347	75.0969
62.529	75.0956
62.711	75.0943
62.892	75.0930
63.074	75.0917
63.253	75.0904
63.434	75.0892
63.619	75.0879
63.803	75.0866
63.979	75.0852
64.157	75.0840
64.334	75.0827
64.511	75.0815
64.687	75.0804
64.863	75.0790
65.042	75.0774
65.224	75.0757
65.404	75.0742
65.586	75.0729
65.765	75.0714
65.948	75.0701
66.131	75.0686
