Filename:	D:\Users\Thermal_Users\LeBlanc\Ag2_8_31_16.tg1d

Temperature (°C)	Weight % (%)
26.199	99.9922
26.278	99.9985
26.366	100.0021
26.461	100.0089
26.561	100.0136
26.663	100.0150
26.762	100.0160
26.856	100.0204
26.942	100.0217
27.022	100.0211
27.094	100.0253
27.159	100.0257
27.217	100.0237
27.269	100.0158
27.315	100.0111
27.357	100.0069
27.395	99.9993
27.428	99.9961
27.459	99.9977
27.485	99.9999
27.509	100.0030
27.531	100.0035
27.551	100.0015
27.570	99.9994
27.586	99.9968
27.602	99.9950
27.616	99.9943
27.628	99.9943
27.640	99.9930
27.651	99.9946
27.661	99.9961
27.670	99.9956
27.678	99.9949
27.685	99.9945
27.693	99.9941
27.699	99.9936
27.705	99.9930
27.711	99.9928
27.717	99.9925
27.722	99.9924
27.726	99.9938
27.731	99.9987
27.734	100.0056
27.738	100.0074
27.742	100.0050
27.745	100.0038
27.748	100.0048
27.751	100.0076
27.754	100.0024
27.757	99.9994
27.759	99.9962
27.761	99.9942
27.764	99.9905
27.765	99.9873
27.767	99.9866
27.769	99.9863
27.770	99.9874
27.772	99.9885
27.773	99.9886
27.774	99.9880
27.776	99.9871
27.779	99.9867
27.790	99.9871
27.807	99.9881
27.834	99.9906
27.884	99.9924
28.054	99.9949
28.527	100.0038
29.232	100.0156
30.038	100.0255
30.867	100.0318
31.679	100.0349
32.450	100.0353
33.170	100.0337
33.833	100.0315
24.059	100.0308
16.529	100.0369
15.284	100.0328
17.039	100.0246
20.141	100.0211
23.770	100.0195
27.534	100.0199
31.245	100.0166
34.830	100.0120
38.258	100.0097
41.536	100.0050
44.674	100.0005
47.692	99.9973
50.601	99.9901
53.414	99.9790
56.154	99.9811
58.827	99.9841
61.436	99.9856
63.985	99.9851
66.480	99.9889
68.921	99.9904
71.314	99.9871
73.676	99.9823
76.002	99.9832
78.297	99.9861
80.564	99.9883
81.015	99.9878
83.236	99.9784
85.393	99.9670
87.436	99.9574
89.327	99.9519
91.041	99.9509
92.578	99.9481
93.951	99.9460
95.173	99.9443
96.269	99.9380
97.243	99.9276
98.120	99.9167
98.906	99.9078
99.619	99.9005
100.265	99.8931
100.858	99.8876
101.398	99.8828
101.892	99.8762
102.354	99.8665
102.781	99.8625
103.175	99.8562
103.545	99.8480
103.889	99.8415
104.216	99.8355
104.520	99.8285
104.802	99.8217
105.069	99.8133
105.315	99.8028
105.551	99.7977
105.774	99.7934
105.984	99.7886
106.180	99.7838
106.366	99.7824
106.543	99.7867
106.717	99.7921
106.887	99.7925
107.051	99.7778
107.207	99.7650
107.362	99.7552
107.500	99.7420
107.634	99.7337
107.761	99.7291
107.877	99.7181
107.991	99.7067
108.099	99.6970
108.199	99.6881
108.287	99.6799
108.376	99.6728
108.457	99.6668
108.532	99.6598
108.599	99.6521
108.659	99.6451
108.712	99.6370
108.758	99.6282
