Filename:	D:\Users\Thermal_Users\LeBlanc\Ag2_8_31_16.tg1d

Time (min)	Weight % (%)
0.000	99.9922
1.667e-002	99.9985
3.333e-002	100.0021
5.000e-002	100.0089
6.667e-002	100.0136
8.333e-002	100.0150
1.000e-001	100.0160
0.117	100.0204
0.133	100.0217
0.150	100.0211
0.167	100.0253
0.183	100.0257
0.200	100.0237
0.217	100.0158
0.233	100.0111
0.250	100.0069
0.267	99.9993
0.283	99.9961
0.300	99.9977
0.317	99.9999
0.333	100.0030
0.350	100.0035
0.367	100.0015
0.383	99.9994
0.400	99.9968
0.417	99.9950
0.433	99.9943
0.450	99.9943
0.467	99.9930
0.483	99.9946
0.500	99.9961
0.517	99.9956
0.533	99.9949
0.550	99.9945
0.567	99.9941
0.583	99.9936
0.600	99.9930
0.617	99.9928
0.633	99.9925
0.650	99.9924
0.667	99.9938
0.683	99.9987
0.700	100.0056
0.717	100.0074
0.733	100.0050
0.750	100.0038
0.767	100.0048
0.783	100.0076
0.800	100.0024
0.817	99.9994
0.833	99.9962
0.850	99.9942
0.867	99.9905
0.883	99.9873
0.900	99.9866
0.917	99.9863
0.933	99.9874
0.950	99.9885
0.967	99.9886
0.983	99.9880
1.000	99.9871
1.017	99.9867
1.033	99.9871
1.050	99.9881
1.067	99.9906
1.083	99.9924
1.100	99.9949
1.117	100.0038
1.133	100.0156
1.150	100.0255
1.167	100.0318
1.183	100.0349
1.200	100.0353
1.217	100.0337
1.233	100.0315
1.250	100.0308
1.267	100.0369
1.283	100.0328
1.300	100.0246
1.317	100.0211
1.333	100.0195
1.350	100.0199
1.367	100.0166
1.383	100.0120
1.400	100.0097
1.417	100.0050
1.433	100.0005
1.450	99.9973
1.467	99.9901
1.483	99.9790
1.500	99.9811
1.517	99.9841
1.533	99.9856
1.550	99.9851
1.567	99.9889
1.583	99.9904
1.600	99.9871
1.617	99.9823
1.633	99.9832
1.650	99.9861
1.667	99.9883
1.683	99.9878
1.700	99.9784
1.717	99.9670
1.733	99.9574
1.750	99.9519
1.767	99.9509
1.783	99.9481
1.800	99.9460
1.817	99.9443
1.833	99.9380
1.850	99.9276
1.867	99.9167
1.883	99.9078
1.900	99.9005
1.917	99.8931
1.933	99.8876
1.950	99.8828
1.967	99.8762
1.983	99.8665
2.000	99.8625
2.017	99.8562
2.033	99.8480
2.050	99.8415
2.067	99.8355
2.083	99.8285
2.100	99.8217
2.117	99.8133
2.133	99.8028
2.150	99.7977
2.167	99.7934
2.183	99.7886
2.200	99.7838
2.217	99.7824
2.233	99.7867
2.250	99.7921
2.267	99.7925
2.283	99.7778
2.300	99.7650
2.317	99.7552
2.333	99.7420
2.350	99.7337
2.367	99.7291
2.383	99.7181
2.400	99.7067
2.417	99.6970
2.433	99.6881
2.450	99.6799
2.467	99.6728
2.483	99.6668
2.500	99.6598
2.517	99.6521
2.533	99.6451
2.550	99.6370
2.567	99.6282
2.583	99.6226
2.600	99.6175
2.617	99.6110
2.633	99.6050
2.650	99.6000
2.667	99.5948
2.683	99.5895
2.700	99.5839
2.717	99.5781
2.733	99.5728
2.750	99.5670
2.767	99.5610
2.783	99.5549
2.800	99.5484
2.817	99.5401
2.833	99.5349
2.850	99.5305
2.867	99.5241
2.883	99.5159
2.900	99.5089
2.917	99.5029
2.933	99.4925
2.950	99.4809
2.967	99.4774
2.983	99.4750
3.000	99.4722
3.017	99.4682
3.033	99.4637
3.050	99.4588
3.067	99.4537
3.083	99.4486
3.100	99.4436
3.117	99.4339
3.133	99.4281
3.150	99.4230
3.167	99.4169
3.183	99.4136
3.200	99.4077
3.217	99.3985
3.233	99.3926
3.250	99.3884
3.267	99.3844
3.283	99.3801
3.300	99.3748
3.317	99.3690
3.333	99.3636
3.350	99.3577
3.367	99.3528
3.383	99.3461
3.400	99.3409
3.417	99.3362
3.433	99.3307
3.450	99.3257
3.467	99.3208
3.483	99.3159
3.500	99.3106
3.517	99.3055
3.533	99.3004
3.550	99.2957
3.567	99.2909
3.583	99.2855
3.600	99.2801
3.617	99.2746
3.633	99.2668
3.650	99.2609
3.667	99.2565
3.683	99.2519
3.700	99.2470
3.717	99.2418
3.733	99.2363
3.750	99.2305
3.767	99.2251
3.783	99.2191
3.800	99.2136
3.817	99.2082
3.833	99.2037
3.850	99.1995
3.867	99.1996
3.883	99.2017
3.900	99.1981
3.917	99.2061
3.933	99.2087
3.950	99.2042
3.967	99.2059
3.983	99.2036
4.000	99.1951
4.017	99.1926
4.033	99.1866
4.050	99.1797
4.067	99.1765
4.083	99.1769
4.100	99.1710
4.117	99.1602
4.133	99.1509
4.150	99.1442
4.167	99.1331
4.183	99.1228
4.200	99.1193
4.217	99.1235
4.233	99.1316
4.250	99.1351
4.267	99.1301
4.283	99.1262
4.300	99.1223
4.317	99.1075
4.333	99.0941
4.350	99.0853
4.367	99.0785
4.383	99.0675
4.400	99.0570
4.417	99.0480
4.433	99.0445
4.450	99.0450
4.467	99.0465
4.483	99.0404
4.500	99.0407
4.517	99.0334
4.533	99.0142
4.550	99.0021
4.567	99.0020
4.583	98.9957
4.600	98.9909
4.617	98.9848
4.633	98.9863
4.650	98.9869
4.667	98.9860
4.683	98.9837
4.700	98.9841
4.717	98.9762
4.733	98.9612
4.750	98.9518
4.767	98.9519
4.783	98.9443
4.800	98.9374
4.817	98.9321
4.833	98.9225
4.850	98.9158
4.867	98.9125
4.883	98.9143
4.900	98.9225
4.917	98.9262
4.933	98.9214
4.950	98.9102
4.967	98.9025
4.983	98.8925
5.000	98.8830
5.017	98.8743
5.033	98.8640
5.050	98.8575
5.067	98.8518
5.083	98.8478
5.100	98.8464
5.117	98.8523
5.133	98.8595
5.150	98.8645
5.167	98.8616
5.183	98.8515
5.200	98.8381
5.217	98.8278
5.233	98.8228
5.250	98.8190
5.267	98.8087
5.283	98.7966
5.300	98.7853
5.317	98.7732
5.333	98.7655
5.350	98.7755
5.367	98.7857
5.383	98.7841
5.400	98.7718
5.417	98.7580
5.433	98.7505
5.450	98.7565
5.467	98.7608
5.483	98.7555
5.500	98.7490
5.517	98.7422
5.533	98.7352
5.550	98.7305
5.567	98.7232
5.583	98.7161
5.600	98.7137
5.617	98.7121
5.633	98.7057
5.650	98.7062
5.667	98.7064
5.683	98.6982
5.700	98.6846
5.717	98.6722
5.733	98.6697
5.750	98.6738
5.767	98.6719
5.783	98.6737
5.800	98.6758
5.817	98.6758
5.833	98.6733
5.850	98.6683
5.867	98.6626
5.883	98.6554
5.900	98.6475
5.917	98.6379
5.933	98.6319
5.950	98.6277
5.967	98.6277
5.983	98.6281
6.000	98.6305
6.017	98.6253
6.033	98.6155
6.050	98.6113
6.067	98.6060
6.083	98.6027
6.100	98.6007
6.117	98.5931
6.133	98.5875
6.150	98.5818
6.167	98.5694
6.183	98.5600
6.200	98.5568
6.217	98.5580
6.233	98.5576
6.250	98.5545
6.267	98.5506
6.283	98.5465
6.300	98.5448
6.317	98.5396
6.333	98.5354
6.350	98.5241
6.367	98.5159
6.383	98.5236
6.400	98.5275
6.417	98.5242
6.433	98.5191
6.450	98.5164
6.467	98.5114
6.483	98.5054
6.500	98.5020
6.517	98.5018
6.533	98.5011
6.550	98.4977
6.567	98.4943
6.583	98.4899
6.600	98.4808
6.617	98.4730
6.633	98.4672
6.650	98.4645
6.667	98.4591
6.683	98.4536
6.700	98.4550
6.717	98.4556
6.733	98.4493
6.750	98.4414
6.767	98.4389
6.783	98.4349
6.800	98.4303
6.817	98.4210
6.833	98.4126
6.850	98.4105
6.867	98.4153
6.883	98.4166
6.900	98.4116
6.917	98.4029
6.933	98.3957
6.950	98.3917
6.967	98.3868
6.983	98.3840
7.000	98.3766
7.017	98.3756
7.033	98.3736
7.050	98.3748
7.067	98.3739
7.083	98.3734
7.100	98.3753
7.117	98.3734
7.133	98.3667
7.150	98.3611
7.167	98.3533
7.183	98.3515
7.200	98.3474
7.217	98.3429
7.233	98.3388
7.250	98.3355
7.267	98.3309
7.283	98.3202
