Filename:	D:\Users\Thermal_Users\LeBlanc\Cu ink 8-10-16.tg1d

Time (min)	Weight (mg)
0.000	67.4989
1.667e-002	67.4978
3.333e-002	67.4984
5.000e-002	67.5072
6.667e-002	67.5118
8.333e-002	67.5114
1.000e-001	67.5066
0.117	67.5105
0.133	67.5135
0.150	67.5119
0.167	67.5065
0.183	67.5027
0.200	67.4997
0.217	67.5001
0.233	67.4991
0.250	67.4996
0.267	67.5044
0.283	67.5056
0.300	67.5054
0.317	67.5015
0.333	67.5015
0.350	67.5007
0.367	67.4998
0.383	67.4922
0.400	67.4811
0.417	67.4811
0.433	67.4886
0.450	67.4958
0.467	67.4969
0.483	67.4997
0.500	67.4989
0.517	67.4958
0.533	67.4984
0.550	67.5000
0.567	67.5020
0.583	67.5048
0.600	67.5014
0.617	67.4963
0.633	67.4964
0.650	67.4938
0.667	67.4904
0.683	67.4923
0.700	67.4928
0.717	67.4915
0.733	67.4906
0.750	67.4905
0.767	67.4902
0.783	67.4929
0.800	67.4989
0.817	67.5028
0.833	67.5032
0.850	67.5021
0.867	67.4963
0.883	67.4915
0.900	67.4893
0.917	67.4922
0.933	67.4963
0.950	67.4926
0.967	67.4851
0.983	67.4790
1.000	67.4748
1.017	67.4746
1.033	67.4793
1.050	67.4793
1.067	67.4773
1.083	67.4870
1.100	67.4974
1.117	67.5077
1.133	67.5115
1.150	67.5092
1.167	67.5066
1.183	67.5058
1.200	67.5065
1.217	67.5073
1.233	67.5072
1.250	67.5061
1.267	67.5052
1.283	67.5043
1.300	67.5044
1.317	67.5028
1.333	67.5005
1.350	67.4937
1.367	67.4888
1.383	67.4791
1.400	67.4663
1.417	67.4560
1.433	67.4455
1.450	67.4359
1.467	67.4282
1.483	67.4251
1.500	67.4254
1.517	67.4291
1.533	67.4309
1.550	67.4325
1.567	67.4311
1.583	67.4271
1.600	67.4130
1.617	67.4032
1.633	67.3986
1.650	67.3980
1.667	67.3942
1.683	67.3956
1.700	67.3980
1.717	67.3985
1.733	67.3934
1.750	67.3887
1.767	67.3846
1.783	67.3790
1.800	67.3756
1.817	67.3705
1.833	67.3670
1.850	67.3586
1.867	67.3508
1.883	67.3395
1.900	67.3272
1.917	67.3151
1.933	67.3034
1.950	67.2902
1.967	67.2774
1.983	67.2681
2.000	67.2604
2.017	67.2493
2.033	67.2295
2.050	67.2086
2.067	67.1876
2.083	67.1635
2.100	67.1349
2.117	67.1068
2.133	67.0724
2.150	67.0364
2.167	66.9953
2.183	66.9482
2.200	66.8898
2.217	66.8253
2.233	66.7538
2.250	66.6812
2.267	66.6033
2.283	66.5163
2.300	66.4204
2.317	66.3141
2.333	66.2002
2.350	66.0795
2.367	65.9457
2.383	65.8016
2.400	65.6462
2.417	65.4871
2.433	65.3200
2.450	65.1476
2.467	64.9684
2.483	64.7823
2.500	64.6074
2.517	64.4467
2.533	64.2995
2.550	64.1645
2.567	64.0513
2.583	63.9616
2.600	63.8841
2.617	63.8197
2.633	63.7625
2.650	63.7079
2.667	63.6610
2.683	63.6266
2.700	63.6015
2.717	63.5785
2.733	63.5531
2.750	63.5329
2.767	63.5117
