Filename:	D:\Users\Thermal_Users\LeBlanc\Cu ink 8_8_16.tg1d

Time (min)	Weight % (%)
0.000	100.0101
1.667e-002	100.0132
3.333e-002	100.0165
5.000e-002	100.0187
6.667e-002	100.0203
8.333e-002	100.0210
1.000e-001	100.0206
0.117	100.0202
0.133	100.0190
0.150	100.0176
0.167	100.0167
0.183	100.0159
0.200	100.0150
0.217	100.0142
0.233	100.0130
0.250	100.0114
0.267	100.0099
0.283	100.0084
0.300	100.0070
0.317	100.0064
0.333	100.0054
0.350	100.0050
0.367	100.0043
0.383	100.0028
0.400	100.0013
0.417	99.9998
0.433	99.9988
0.450	99.9979
0.467	99.9972
0.483	99.9963
0.500	99.9955
0.517	99.9947
0.533	99.9936
0.550	99.9926
0.567	99.9919
0.583	99.9915
0.600	99.9909
0.617	99.9897
0.633	99.9890
0.650	99.9885
0.667	99.9882
0.683	99.9878
0.700	99.9876
0.717	99.9879
0.733	99.9877
0.750	99.9874
0.767	99.9867
0.783	99.9858
0.800	99.9851
0.817	99.9846
0.833	99.9843
0.850	99.9838
0.867	99.9831
0.883	99.9823
0.900	99.9821
0.917	99.9817
0.933	99.9813
0.950	99.9810
0.967	99.9809
0.983	99.9805
1.000	99.9800
1.017	99.9799
1.033	99.9800
1.050	99.9796
1.067	99.9791
1.083	99.9787
1.100	99.9787
1.117	99.9789
1.133	99.9789
1.150	99.9790
1.167	99.9799
1.183	99.9803
1.200	99.9806
1.217	99.9814
1.233	99.9818
1.250	99.9822
1.267	99.9826
1.283	99.9824
1.300	99.9823
1.317	99.9822
1.333	99.9822
1.350	99.9822
1.367	99.9823
1.383	99.9822
1.400	99.9868
1.417	100.0048
1.433	100.0262
1.450	100.0434
1.467	100.0539
1.483	100.0584
1.500	100.0581
1.517	100.0547
1.533	100.0492
1.550	100.0420
1.567	100.0337
1.583	100.0248
1.600	100.0153
1.617	100.0050
1.633	99.9943
1.650	99.9837
1.667	99.9731
1.683	99.9623
1.700	99.9507
1.717	99.9390
1.733	99.9270
1.750	99.9144
1.767	99.9012
1.783	99.8880
1.800	99.8742
1.817	99.8598
1.833	99.8455
1.850	99.8313
1.867	99.8172
1.883	99.8032
1.900	99.7893
1.917	99.7754
1.933	99.7614
1.950	99.7477
1.967	99.7341
1.983	99.7206
2.000	99.7073
2.017	99.6946
2.033	99.6820
2.050	99.6698
2.067	99.6580
2.083	99.6467
2.100	99.6356
2.117	99.6243
2.133	99.6136
2.150	99.6037
2.167	99.5948
2.183	99.5868
2.200	99.5796
2.217	99.5728
2.233	99.5665
2.250	99.5605
2.267	99.5550
2.283	99.5492
2.300	99.5435
2.317	99.5390
2.333	99.5350
2.350	99.5315
2.367	99.5284
2.383	99.5255
2.400	99.5232
2.417	99.5214
2.433	99.5199
2.450	99.5190
2.467	99.5187
2.483	99.5190
2.500	99.5199
2.517	99.5213
2.533	99.5225
2.550	99.5238
2.567	99.5257
2.583	99.5280
2.600	99.5308
2.617	99.5339
2.633	99.5373
2.650	99.5408
2.667	99.5447
2.683	99.5489
2.700	99.5542
2.717	99.5596
2.733	99.5651
2.750	99.5705
2.767	99.5754
2.783	99.5804
2.800	99.5857
2.817	99.5920
2.833	99.5987
2.850	99.6053
2.867	99.6119
2.883	99.6185
2.900	99.6250
2.917	99.6316
2.933	99.6383
2.950	99.6454
2.967	99.6527
2.983	99.6607
3.000	99.6687
3.017	99.6764
3.033	99.6842
3.050	99.6915
3.067	99.6990
3.083	99.7065
3.100	99.7140
3.117	99.7215
3.133	99.7290
3.150	99.7370
3.167	99.7451
3.183	99.7531
3.200	99.7615
3.217	99.7696
3.233	99.7777
3.250	99.7856
3.267	99.7934
3.283	99.8013
3.300	99.8094
3.317	99.8172
3.333	99.8253
3.350	99.8332
3.367	99.8411
3.383	99.8489
3.400	99.8565
3.417	99.8642
3.433	99.8721
3.450	99.8798
3.467	99.8880
3.483	99.8958
3.500	99.9032
3.517	99.9112
3.533	99.9191
3.550	99.9272
3.567	99.9350
3.583	99.9427
3.600	99.9502
3.617	99.9576
3.633	99.9650
3.650	99.9723
3.667	99.9795
3.683	99.9873
3.700	99.9944
3.717	100.0017
3.733	100.0095
3.750	100.0172
3.767	100.0254
3.783	100.0337
3.800	100.0419
3.817	100.0497
3.833	100.0570
3.850	100.0645
3.867	100.0717
3.883	100.0797
3.900	100.0875
3.917	100.0950
3.933	100.1024
3.950	100.1097
3.967	100.1179
3.983	100.1259
4.000	100.1334
4.017	100.1411
4.033	100.1486
4.050	100.1558
4.067	100.1635
4.083	100.1709
4.100	100.1786
4.117	100.1865
4.133	100.1948
4.150	100.2026
4.167	100.2101
4.183	100.2179
4.200	100.2253
4.217	100.2326
4.233	100.2402
4.250	100.2480
4.267	100.2558
4.283	100.2635
4.300	100.2714
4.317	100.2790
4.333	100.2865
4.350	100.2941
4.367	100.3023
4.383	100.3096
4.400	100.3171
4.417	100.3248
4.433	100.3326
4.450	100.3396
4.467	100.3470
4.483	100.3551
4.500	100.3632
4.517	100.3711
4.533	100.3791
4.550	100.3868
4.567	100.3944
4.583	100.4020
4.600	100.4096
4.617	100.4169
4.633	100.4247
4.650	100.4324
4.667	100.4405
4.683	100.4482
4.700	100.4564
4.717	100.4648
4.733	100.4730
4.750	100.4805
4.767	100.4880
4.783	100.4951
4.800	100.5022
4.817	100.5099
4.833	100.5172
4.850	100.5245
4.867	100.5314
4.883	100.5382
4.900	100.5453
4.917	100.5525
4.933	100.5598
4.950	100.5665
4.967	100.5739
4.983	100.5814
5.000	100.5889
5.017	100.5964
5.033	100.6038
5.050	100.6110
5.067	100.6182
5.083	100.6254
5.100	100.6323
5.117	100.6392
5.133	100.6460
5.150	100.6529
5.167	100.6596
5.183	100.6665
5.200	100.6735
5.217	100.6806
5.233	100.6876
5.250	100.6943
5.267	100.7008
5.283	100.7073
5.300	100.7137
5.317	100.7205
5.333	100.7269
5.350	100.7333
5.367	100.7398
5.383	100.7464
5.400	100.7529
5.417	100.7591
5.433	100.7646
5.450	100.7706
5.467	100.7766
5.483	100.7824
5.500	100.7886
5.517	100.7949
5.533	100.8012
5.550	100.8079
5.567	100.8147
5.583	100.8211
5.600	100.8270
5.617	100.8322
5.633	100.8371
5.650	100.8422
5.667	100.8473
5.683	100.8529
5.700	100.8583
5.717	100.8636
5.733	100.8685
5.750	100.8732
5.767	100.8780
5.783	100.8830
5.800	100.8882
5.817	100.8936
5.833	100.8986
5.850	100.9040
5.867	100.9093
5.883	100.9144
5.900	100.9193
5.917	100.9241
5.933	100.9288
5.950	100.9333
5.967	100.9380
5.983	100.9427
6.000	100.9472
6.017	100.9518
6.033	100.9559
6.050	100.9601
6.067	100.9641
6.083	100.9682
6.100	100.9720
6.117	100.9761
6.133	100.9803
6.150	100.9841
6.167	100.9879
6.183	100.9921
6.200	100.9963
6.217	101.0001
6.233	101.0033
6.250	101.0061
6.267	101.0093
6.283	101.0124
6.300	101.0157
6.317	101.0190
6.333	101.0220
6.350	101.0250
6.367	101.0284
6.383	101.0318
6.400	101.0351
6.417	101.0381
6.433	101.0413
6.450	101.0443
6.467	101.0473
6.483	101.0501
6.500	101.0530
6.517	101.0563
6.533	101.0597
6.550	101.0624
6.567	101.0646
6.583	101.0668
6.600	101.0688
6.617	101.0701
6.633	101.0717
6.650	101.0737
6.667	101.0760
6.683	101.0782
6.700	101.0805
6.717	101.0826
6.733	101.0845
6.750	101.0865
6.767	101.0884
6.783	101.0903
6.800	101.0922
6.817	101.0943
6.833	101.0960
6.850	101.0973
6.867	101.0987
6.883	101.0999
6.900	101.1011
6.917	101.1021
6.933	101.1031
6.950	101.1042
6.967	101.1054
6.983	101.1064
7.000	101.1071
7.017	101.1078
7.033	101.1084
7.050	101.1096
7.067	101.1109
7.083	101.1118
7.100	101.1125
7.117	101.1131
7.133	101.1139
7.150	101.1144
7.167	101.1150
7.183	101.1155
7.200	101.1161
7.217	101.1165
7.233	101.1165
7.250	101.1166
7.267	101.1164
