Temperature (K),kinematic viscosity (m^2/s),Therm. Cond. (W/m*K),Prandtl #,source:,http://webbook.nist.gov/chemistry/fluid/
274,0.00000174,0.56263,13.04188188,,
275,0.000001682,0.56453,12.55518715,,
276,0.000001627,0.56643,12.09631923,,
277,0.000001575,0.56834,11.66216085,,
278,0.000001526,0.57024,11.25131155,,
279,0.000001479,0.57214,10.86250699,,
280,0.000001434,0.57404,10.4932534,,
281,0.000001391,0.57593,10.14249197,,
282,0.000001351,0.57783,9.809639513,,
283,0.000001312,0.57972,9.492878079,,
284,0.000001275,0.5816,9.191759491,,
285,0.00000124,0.58348,8.905212021,,
286,0.000001206,0.58534,8.632132948,,
287,0.000001174,0.58721,8.370780998,,
288,0.000001143,0.58906,8.121849896,,
289,0.000001114,0.5909,7.884648418,,
290,0.000001085,0.59273,7.657111332,,
291,0.000001058,0.59455,7.43982205,,
292,0.000001032,0.59636,7.231954859,,
293,0.000001007,0.59815,7.032814261,,
294,0.000000983,0.59993,6.842287487,,
295,0.00000096,0.60169,6.659512014,,
296,0.000000938,0.60344,6.484055827,,
297,0.000000916,0.60518,6.315649612,,
298,0.000000896,0.60689,6.154138897,,
299,0.000000876,0.60859,5.998883127,,
300,0.000000857,0.61028,5.849478364,,
301,0.000000838,0.61194,5.70605376,,
302,0.000000821,0.61359,5.567874278,,
303,0.000000803,0.61522,5.434972516,,
304,0.000000787,0.61682,5.306972676,,
305,0.000000771,0.61841,5.183773888,,
306,0.000000755,0.61998,5.064881151,,
307,0.00000074,0.62153,4.950250105,,
308,0.000000726,0.62305,4.839714092,,
309,0.000000712,0.62456,4.733054887,,
310,0.000000698,0.62605,4.630062184,,
311,0.000000685,0.62751,4.530572405,,
312,0.000000672,0.62895,4.434582514,,
313,0.00000066,0.63037,4.341646773,,
314,0.000000648,0.63177,4.251879,,
315,0.000000636,0.63315,4.165012427,,
316,0.000000625,0.6345,4.081116154,,
317,0.000000614,0.63584,3.999867077,,
318,0.000000604,0.63715,3.921077442,,
319,0.000000593,0.63844,3.844849931,,
320,0.000000583,0.63971,3.771001726,,
321,0.000000573,0.64095,3.699593026,,
322,0.000000564,0.64217,3.630235078,,
323,0.000000555,0.64337,3.563019903,,
324,0.000000546,0.64455,3.497841648,,
325,0.000000537,0.64571,3.434553916,,
326,0.000000529,0.64685,3.373141,,
327,0.00000052,0.64796,3.313574239,,
328,0.000000512,0.64905,3.255734991,,
329,0.000000505,0.65013,3.199544506,,
330,0.000000497,0.65118,3.144949572,,
331,0.00000049,0.6522,3.09195828,,
332,0.000000482,0.65321,3.040386951,,
333,0.000000475,0.6542,2.990344152,,
334,0.000000469,0.65517,2.941547194,,
335,0.000000462,0.65611,2.894235784,,
336,0.000000455,0.65704,2.848044162,,
337,0.000000449,0.65795,2.803208935,,
338,0.000000443,0.65883,2.759566705,,
339,0.000000437,0.6597,2.717024708,,
340,0.000000431,0.66055,2.675681394,,
341,0.000000425,0.66138,2.635336902,,
342,0.000000419,0.66218,2.596149941,,
343,0.000000414,0.66298,2.557807733,,
344,0.000000409,0.66375,2.520544262,,
345,0.000000403,0.6645,2.484188871,,
346,0.000000398,0.66524,2.448761739,,
347,0.000000393,0.66595,2.414262704,,
348,0.000000388,0.66665,2.38056012,,
349,0.000000383,0.66734,2.347638811,,
350,0.000000379,0.668,2.315632698,,
351,0.000000374,0.66865,2.284341321,,
352,0.00000037,0.66928,2.253795183,,
353,0.000000365,0.6699,2.224009554,,
354,0.000000361,0.6705,2.194844892,,
355,0.000000357,0.67108,2.166464937,,
356,0.000000353,0.67164,2.138750103,,
357,0.000000349,0.6722,2.111633744,,
358,0.000000345,0.67273,2.085145231,,
359,0.000000341,0.67325,2.05926766,,
360,0.000000337,0.67376,2.033962598,,
361,0.000000333,0.67425,2.009230389,,
362,0.00000033,0.67472,1.985081272,,
363,0.000000326,0.67518,1.961483151,,
364,0.000000323,0.67563,1.938418005,,
365,0.000000319,0.67606,1.915819735,,
366,0.000000316,0.67648,1.893687086,,
367,0.000000313,0.67689,1.87209684,,
368,0.00000031,0.67728,1.850994385,,
369,0.000000306,0.67766,1.830261906,,
370,0.000000303,0.67802,1.810074322,,
371,0.0000003,0.67838,1.790208426,,
372,0.000000297,0.67872,1.770840311,,
373,0.000000294,0.67904,1.751843698,,
374,0.000000292,0.67936,1.733206706,,
375,0.000000289,0.67966,1.715021052,,
376,0.000000286,0.67995,1.697155497,,
377,0.000000283,0.68023,1.679731888,,
378,0.000000281,0.6805,1.662607223,,
379,0.000000278,0.68075,1.645883987,,
380,0.000000276,0.681,1.629410909,,
381,0.000000273,0.68123,1.613359356,,
382,0.000000271,0.68145,1.597556105,,
383,0.000000268,0.68166,1.582110535,,
384,0.000000266,0.68186,1.566973118,,
385,0.000000264,0.68205,1.552105401,,
386,0.000000261,0.68222,1.537565618,,
387,0.000000259,0.68239,1.523270841,,
388,0.000000257,0.68255,1.509305314,,
389,0.000000255,0.68269,1.495566307,,
390,0.000000253,0.68283,1.482071333,,
391,0.00000025,0.68295,1.468898162,,
392,0.000000248,0.68307,1.455905743,,
393,0.000000246,0.68317,1.44323256,,
394,0.000000244,0.68327,1.430767442,,
395,0.000000242,0.68335,1.418557667,,
396,0.000000241,0.68343,1.406527137,,
397,0.000000239,0.6835,1.394791413,,
398,0.000000237,0.68355,1.383212644,,
399,0.000000235,0.6836,1.371874252,,
400,0.000000233,0.68364,1.360734158,,
401,0.000000231,0.68367,1.34982378,,
402,0.00000023,0.68369,1.339048314,,
403,0.000000228,0.6837,1.328532093,,
404,0.000000226,0.6837,1.318181191,,
405,0.000000225,0.68369,1.30808866,,
406,0.000000223,0.68368,1.298048186,,
407,0.000000221,0.68365,1.288284883,,
408,0.00000022,0.68362,1.278665845,,
409,0.000000218,0.68357,1.269260503,,
410,0.000000217,0.68352,1.259998402,,
411,0.000000215,0.68346,1.250868127,,
412,0.000000214,0.68339,1.241932132,,
413,0.000000212,0.68331,1.233127708,,
414,0.000000211,0.68323,1.224465363,,
415,0.00000021,0.68313,1.216014674,,
416,0.000000208,0.68303,1.20770529,,
417,0.000000207,0.68292,1.199526457,,
418,0.000000206,0.68279,1.19149554,,
419,0.000000204,0.68267,1.183587663,,
420,0.000000203,0.68253,1.175827172,,
421,0.000000202,0.68238,1.168196577,,
422,0.0000002,0.68223,1.1607058,,
423,0.000000199,0.68207,1.153344704,,
424,0.000000198,0.6819,1.146050088,,
425,0.000000197,0.68172,1.138974711,,
426,0.000000196,0.68153,1.131965372,,
427,0.000000194,0.68134,1.12509485,,
428,0.000000193,0.68113,1.118369909,,
429,0.000000192,0.68092,1.111757682,,
430,0.000000191,0.6807,1.105236756,,
431,0.00000019,0.68047,1.098844765,,
432,0.000000189,0.68024,1.09252729,,
433,0.000000188,0.67999,1.086354666,,
434,0.000000187,0.67974,1.080294983,,
435,0.000000186,0.67948,1.074325308,,
436,0.000000185,0.67921,1.06844512,,
437,0.000000184,0.67893,1.062669065,,
438,0.000000183,0.67865,1.056966684,,
439,0.000000182,0.67836,1.051417413,,
440,0.000000181,0.67805,1.045948185,,
441,0.00000018,0.67774,1.04055193,,
442,0.000000179,0.67743,1.035269133,,
443,0.000000178,0.6771,1.030066179,,
444,0.000000177,0.67677,1.024936034,,
445,0.000000176,0.67642,1.019950025,,
446,0.000000175,0.67607,1.015036646,,
447,0.000000174,0.67571,1.010187632,,
448,0.000000174,0.67535,1.005411073,,
449,0.000000173,0.67497,1.000713676,,
450,0.000000172,0.67459,0.996153584,,
451,0.000000171,0.67419,0.99162995,,
452,0.00000017,0.67379,0.98719848,,
453,0.000000169,0.67338,0.982876218,,
454,0.000000169,0.67297,0.978603617,,
455,0.000000168,0.67254,0.974409921,,
456,0.000000167,0.67211,0.970222471,,
457,0.000000166,0.67166,0.966179436,,
458,0.000000166,0.67121,0.962208263,,
459,0.000000165,0.67075,0.958323195,,
460,0.000000164,0.67028,0.954502527,,
461,0.000000163,0.66981,0.950753647,,
462,0.000000163,0.66932,0.947017149,,
463,0.000000162,0.66883,0.943418701,,
464,0.000000161,0.66832,0.939853578,,
465,0.000000161,0.66781,0.936405573,,
466,0.00000016,0.66729,0.93297658,,
467,0.000000159,0.66676,0.929612294,,
468,0.000000159,0.66623,0.926319748,,
469,0.000000158,0.66568,0.923126728,,
